strategy_kind,regime_label,volatility_label,intervention_risk,observation_count,direction_hit_count,direction_hit_rate,range_hit_count,range_hit_rate,state_proxy_hit_count,state_proxy_hit_rate,mean_close_error_bp,median_close_error_bp,mean_magnitude_error_bp,last_updated_utc
baseline_prev_day_direction,choppy,normal,low,1,0,0.0,,,,,146.0,146.0,46.77,2026-07-21T07:36:36Z
baseline_prev_day_direction,trending,high,low,8,6,0.75,,,,,24.54,26.03,18.75,2026-07-21T07:36:36Z
baseline_prev_day_direction,trending,high,medium,3,1,0.3333,,,,,126.71,95.33,60.81,2026-07-21T07:36:36Z
baseline_prev_day_direction,trending,low,low,17,9,0.5294,,,,,26.89,17.31,19.23,2026-07-21T07:36:36Z
baseline_prev_day_direction,trending,normal,low,46,24,0.5217,,,,,27.2,19.99,19.23,2026-07-21T07:36:36Z
baseline_prev_day_direction,trending,normal,medium,3,2,0.6667,,,,,64.77,53.23,36.85,2026-07-21T07:36:36Z
baseline_random_walk,choppy,normal,low,1,0,0.0,,,,,49.62,49.62,49.62,2026-07-21T07:36:36Z
baseline_random_walk,trending,high,low,8,0,0.0,,,,,30.62,34.54,30.62,2026-07-21T07:36:36Z
baseline_random_walk,trending,high,medium,3,0,0.0,,,,,82.73,92.87,82.73,2026-07-21T07:36:36Z
baseline_random_walk,trending,low,low,17,0,0.0,,,,,10.4,11.91,10.4,2026-07-21T07:36:36Z
baseline_random_walk,trending,normal,low,46,0,0.0,,,,,16.76,15.07,16.76,2026-07-21T07:36:36Z
baseline_random_walk,trending,normal,medium,3,0,0.0,,,,,56.03,53.23,56.03,2026-07-21T07:36:36Z
baseline_simple_technical,choppy,normal,low,1,0,0.0,,,,,90.3,90.3,8.93,2026-07-21T07:36:36Z
baseline_simple_technical,trending,high,low,8,4,0.5,,,,,37.87,39.11,18.39,2026-07-21T07:36:36Z
baseline_simple_technical,trending,high,medium,3,1,0.3333,,,,,87.95,96.56,53.54,2026-07-21T07:36:36Z
baseline_simple_technical,trending,low,low,17,11,0.6471,,,,,23.62,20.5,17.89,2026-07-21T07:36:36Z
baseline_simple_technical,trending,normal,low,46,31,0.6739,,,,,24.71,20.24,14.82,2026-07-21T07:36:36Z
baseline_simple_technical,trending,normal,medium,3,2,0.6667,,,,,48.7,32.27,23.88,2026-07-21T07:36:36Z
ugh,choppy,normal,low,1,0,0.0,0,0.0,1,1.0,49.85,49.85,49.38,2026-07-21T07:36:36Z
ugh,trending,high,low,2,1,0.5,1,0.5,2,1.0,21.68,21.68,21.58,2026-07-21T07:36:36Z
ugh,trending,high,medium,2,2,1.0,0,0.0,2,1.0,77.53,77.53,77.53,2026-07-21T07:36:36Z
ugh,trending,low,low,9,3,0.3333,9,1.0,9,1.0,13.4,13.93,13.27,2026-07-21T07:36:36Z
ugh,trending,normal,low,10,5,0.5,6,0.6,10,1.0,22.67,18.72,22.52,2026-07-21T07:36:36Z
ugh,trending,normal,medium,2,1,0.5,0,0.0,2,1.0,57.59,57.59,57.18,2026-07-21T07:36:36Z
ugh_v2_alpha,trending,high,low,6,3,0.5,2,0.3333,4,0.6667,31.7,36.5,29.02,2026-07-21T07:36:36Z
ugh_v2_alpha,trending,high,medium,1,0,0.0,0,0.0,0,0.0,98.85,98.85,86.88,2026-07-21T07:36:36Z
ugh_v2_alpha,trending,low,low,8,6,0.75,5,0.625,5,0.625,12.03,10.08,9.94,2026-07-21T07:36:36Z
ugh_v2_alpha,trending,normal,low,36,24,0.6667,29,0.8056,21,0.5833,14.12,10.82,10.29,2026-07-21T07:36:36Z
ugh_v2_alpha,trending,normal,medium,1,0,0.0,0,0.0,1,1.0,53.23,53.23,53.23,2026-07-21T07:36:36Z
ugh_v2_beta,trending,high,low,6,4,0.6667,2,0.3333,4,0.6667,30.63,33.51,27.92,2026-07-21T07:36:36Z
ugh_v2_beta,trending,high,medium,1,0,0.0,0,0.0,0,0.0,97.73,97.73,88.0,2026-07-21T07:36:36Z
ugh_v2_beta,trending,low,low,8,6,0.75,4,0.5,6,0.75,13.61,11.65,10.57,2026-07-21T07:36:36Z
ugh_v2_beta,trending,normal,low,36,23,0.6389,26,0.7222,23,0.6389,13.9,10.38,10.34,2026-07-21T07:36:36Z
ugh_v2_beta,trending,normal,medium,1,0,0.0,0,0.0,0,0.0,53.23,53.23,53.23,2026-07-21T07:36:36Z
ugh_v2_delta,trending,high,low,6,4,0.6667,2,0.3333,4,0.6667,31.13,34.94,28.55,2026-07-21T07:36:36Z
ugh_v2_delta,trending,high,medium,1,0,0.0,0,0.0,0,0.0,98.22,98.22,87.51,2026-07-21T07:36:36Z
ugh_v2_delta,trending,low,low,8,6,0.75,5,0.625,6,0.75,12.88,10.97,10.26,2026-07-21T07:36:36Z
ugh_v2_delta,trending,normal,low,36,24,0.6667,27,0.75,22,0.6111,14.01,11.22,10.41,2026-07-21T07:36:36Z
ugh_v2_delta,trending,normal,medium,1,0,0.0,0,0.0,1,1.0,53.23,53.23,53.23,2026-07-21T07:36:36Z
ugh_v2_gamma,trending,high,low,6,4,0.6667,2,0.3333,5,0.8333,31.48,36.23,29.2,2026-07-21T07:36:36Z
ugh_v2_gamma,trending,high,medium,1,0,0.0,0,0.0,0,0.0,98.52,98.52,87.21,2026-07-21T07:36:36Z
ugh_v2_gamma,trending,low,low,8,6,0.75,5,0.625,5,0.625,11.79,10.25,9.76,2026-07-21T07:36:36Z
ugh_v2_gamma,trending,normal,low,36,24,0.6667,30,0.8333,22,0.6111,13.97,10.93,10.24,2026-07-21T07:36:36Z
ugh_v2_gamma,trending,normal,medium,1,0,0.0,0,0.0,1,1.0,53.23,53.23,53.23,2026-07-21T07:36:36Z
