as_of_jst,forecast_batch_id,outcome_id,strategy_kind,forecast_direction,expected_close_change_bp,realized_direction,realized_close_change_bp,direction_hit,range_hit,state_proxy_hit,close_error_bp,magnitude_error_bp,ai_regime_label,ai_volatility_label,ai_intervention_risk,ai_event_tags,ai_failure_reason,ai_annotation_confidence,ai_annotation_model_version,ai_annotation_prompt_version,ai_evidence_refs,ai_annotation_status,regime_label,event_tags,manual_event_tags,auto_event_tags,effective_event_tags,event_tag_source,volatility_label,intervention_risk,failure_reason,annotation_source,annotation_status
2026-03-20T08:00:00+09:00,fb_USDJPY_20260320T080000_v1_7b565adcd1d7f375,oc_USDJPY_20260320T080000_20260323T080000_v1_9bd02547725da727,baseline_prev_day_direction,down,-133.2499218016888,up,96.38554216867534,False,,,229.63546397036413,36.864379633013456,choppy,high,medium,,,0.8,deterministic-v1,deterministic-p1,,generated,choppy,,,,,none,high,medium,,ai,confirmed
2026-03-20T08:00:00+09:00,fb_USDJPY_20260320T080000_v1_7b565adcd1d7f375,oc_USDJPY_20260320T080000_20260323T080000_v1_9bd02547725da727,baseline_random_walk,flat,0.0,up,96.38554216867534,False,,,96.38554216867534,96.38554216867534,choppy,high,medium,,,0.8,deterministic-v1,deterministic-p1,,generated,choppy,,,,,none,high,medium,,ai,confirmed
2026-03-20T08:00:00+09:00,fb_USDJPY_20260320T080000_v1_7b565adcd1d7f375,oc_USDJPY_20260320T080000_20260323T080000_v1_9bd02547725da727,baseline_simple_technical,up,35.932795341104665,up,96.38554216867534,True,,,60.45274682757068,60.45274682757068,trending,high,medium,,,0.8,deterministic-v1,deterministic-p1,,generated,trending,,,,,none,high,medium,,ai,confirmed
2026-03-20T08:00:00+09:00,fb_USDJPY_20260320T080000_v1_7b565adcd1d7f375,oc_USDJPY_20260320T080000_20260323T080000_v1_9bd02547725da727,ugh,up,0.233875,up,96.38554216867534,True,False,True,96.15166716867535,96.15166716867535,trending,high,medium,,,0.8,deterministic-v1,deterministic-p1,,generated,trending,,,,,none,high,medium,,ai,confirmed
2026-03-23T08:00:00+09:00,fb_USDJPY_20260323T080000_v1_faa82dc18b545794,oc_USDJPY_20260323T080000_20260324T080000_v1_0d2474d182a7d670,baseline_prev_day_direction,up,96.38554216867534,down,-49.616882301217935,False,,,146.00242446989327,46.76865986745741,choppy,high,low,,,0.8,deterministic-v1,deterministic-p1,,generated,choppy,geopolitical_shock|us_iran,geopolitical_shock|us_iran,,geopolitical_shock|us_iran,manual_compat,high,low,,ai,confirmed
2026-03-23T08:00:00+09:00,fb_USDJPY_20260323T080000_v1_faa82dc18b545794,oc_USDJPY_20260323T080000_20260324T080000_v1_0d2474d182a7d670,baseline_random_walk,flat,0.0,down,-49.616882301217935,False,,,49.616882301217935,49.616882301217935,choppy,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,choppy,geopolitical_shock|us_iran,geopolitical_shock|us_iran,,geopolitical_shock|us_iran,manual_compat,normal,low,,ai,confirmed
2026-03-23T08:00:00+09:00,fb_USDJPY_20260323T080000_v1_faa82dc18b545794,oc_USDJPY_20260323T080000_20260324T080000_v1_0d2474d182a7d670,baseline_simple_technical,up,40.68756880508248,down,-49.616882301217935,False,,,90.3044511063004,8.929313496135457,choppy,high,low,,,0.8,deterministic-v1,deterministic-p1,,generated,choppy,geopolitical_shock|us_iran,geopolitical_shock|us_iran,,geopolitical_shock|us_iran,manual_compat,high,low,,ai,confirmed
2026-03-23T08:00:00+09:00,fb_USDJPY_20260323T080000_v1_faa82dc18b545794,oc_USDJPY_20260323T080000_20260324T080000_v1_0d2474d182a7d670,ugh,up,0.233875,down,-49.616882301217935,False,False,True,49.85075730121793,49.38300730121794,choppy,normal,low,,direction_miss,0.8,deterministic-v1,deterministic-p1,,generated,choppy,geopolitical_shock|us_iran,geopolitical_shock|us_iran,,geopolitical_shock|us_iran,manual_compat,normal,low,direction_miss,ai,confirmed
2026-03-24T08:00:00+09:00,fb_USDJPY_20260324T080000_v1_ced05f21f872e350,oc_USDJPY_20260324T080000_20260325T080000_v1_280b854970ab67e3,baseline_prev_day_direction,down,-49.616882301217935,up,17.044378511458255,False,,,66.66126081267619,32.57250378975968,choppy,high,low,,,0.8,deterministic-v1,deterministic-p1,,generated,choppy,oil_retreat|us_iran,oil_retreat|us_iran,,oil_retreat|us_iran,manual_compat,high,low,,ai,confirmed
2026-03-24T08:00:00+09:00,fb_USDJPY_20260324T080000_v1_ced05f21f872e350,oc_USDJPY_20260324T080000_20260325T080000_v1_280b854970ab67e3,baseline_random_walk,flat,0.0,up,17.044378511458255,False,,,17.044378511458255,17.044378511458255,choppy,low,low,,,0.8,deterministic-v1,deterministic-p1,,generated,choppy,oil_retreat|us_iran,oil_retreat|us_iran,,oil_retreat|us_iran,manual_compat,low,low,,ai,confirmed
2026-03-24T08:00:00+09:00,fb_USDJPY_20260324T080000_v1_ced05f21f872e350,oc_USDJPY_20260324T080000_20260325T080000_v1_280b854970ab67e3,baseline_simple_technical,up,42.20017124702183,up,17.044378511458255,True,,,25.155792735563573,25.155792735563573,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,trending,oil_retreat|us_iran,oil_retreat|us_iran,,oil_retreat|us_iran,manual_compat,normal,low,,ai,confirmed
2026-03-24T08:00:00+09:00,fb_USDJPY_20260324T080000_v1_ced05f21f872e350,oc_USDJPY_20260324T080000_20260325T080000_v1_280b854970ab67e3,ugh,up,0.233875,up,17.044378511458255,True,True,True,16.810503511458254,16.810503511458254,trending,low,low,,,0.8,deterministic-v1,deterministic-p1,,generated,trending,oil_retreat|us_iran,oil_retreat|us_iran,,oil_retreat|us_iran,manual_compat,low,low,,ai,confirmed
2026-03-25T08:00:00+09:00,fb_USDJPY_20260325T080000_v1_a299e8fb64a5c586,oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d,baseline_prev_day_direction,up,17.044378511458255,up,48.522276135863024,True,,,31.47789762440477,31.47789762440477,trending,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,trending,hawkish_fed|ppi_us|us_iran,hawkish_fed|ppi_us|us_iran,,hawkish_fed|ppi_us|us_iran,manual_compat,normal,low,,ai,confirmed
2026-03-25T08:00:00+09:00,fb_USDJPY_20260325T080000_v1_a299e8fb64a5c586,oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d,baseline_random_walk,flat,0.0,up,48.522276135863024,False,,,48.522276135863024,48.522276135863024,choppy,normal,low,,,0.8,deterministic-v1,deterministic-p1,,generated,choppy,hawkish_fed|ppi_us|us_iran,hawkish_fed|ppi_us|us_iran,,hawkish_fed|ppi_us|us_iran,manual_compat,normal,low,,ai,confirmed
2026-03-25T08:00:00+09:00,fb_USDJPY_20260325T080000_v1_a299e8fb64a5c586,oc_USDJPY_20260325T080000_20260326T080000_v1_98b9b38d61b6c31d,baseline_simple_technical,up,39.01048368614322,up,48.522276135863024,True,,,9.511792449719806,9.511792449719806,trending,low,low,,,0.8,deterministic-v1,deterministic-p1,,generated,trending,hawkish_fed|ppi_us|us_iran,hawkish_fed|ppi_us|us_iran,,hawkish_fed|ppi_us|us_iran,manual_compat,low,low,,ai,confirmed
